article_id,source,event,title,sentence_index,sentence,biased,sentiment,article_mean_sentiment,sentiment_deviation_article,sentiment_deviation_window
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,0,"Mike Huckabee, the Baptist minister who became Arkansas governor, announced Tuesday he'll run for the 2016 Republican presidential nomination.",0,0.0,0.14899354838709677,0.14899354838709677,0.368575
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,1,"Huckabee made the announcement in his hometown of Hope, Arkansas.",0,0.4404,0.14899354838709677,0.29140645161290324,0.09089999999999998
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,2,"""I am a candidate for president of the United States of America,"" he said.",0,0.4215,0.14899354838709677,0.2725064516129032,0.06
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,3,"During his announcement, Huckabee said that he would ""conquer Jihadism"" and protect Social Security.",0,0.6124,0.14899354838709677,0.4634064516129033,0.27798571428571434
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,4,He also criticized the Supreme Court for potentially overturning bans on same-sex marriage.,0,0.2732,0.14899354838709677,0.12420645161290322,0.06121428571428572
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,5,He also said that he favored term limits for individuals in all branches of the federal government -- including the judiciary.,0,0.4215,0.14899354838709677,0.2725064516129032,0.14999999999999997
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,6,"""The Supreme Court is not the supreme being,"" he said.",0,0.1719,0.14899354838709677,0.022906451612903223,0.0393857142857143
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,7,"Huckabee, 59, quit his job hosting his own Fox News show, ""Huckabee,"" in January.",0,0.0,0.14899354838709677,0.14899354838709677,0.23988571428571429
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,8,"Last month, he began plotting campaign strategy and hiring staff.",0,0.0,0.14899354838709677,0.14899354838709677,0.2738
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,9,Huckabee ran for president in 2008.,0,0.0,0.14899354838709677,0.14899354838709677,0.22278571428571428
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,10,"He joins an already crowded 2016 Republican field, and will likely enlist support from the party's far right wing, where he faces competition from Sen. Ted Cruz (R-Texas), who has positioned himself as a tea party favorite.",1,0.8126,0.14899354838709677,0.6636064516129032,0.5753428571428572
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,11,"Huckabee said on CBS's ""Face the Nation"" last month that he's confident he can broaden his appeal beyond evangelical Christians and social conservatives to reach working-class Republicans concerned about the economy.",0,0.5106,0.14899354838709677,0.3616064516129033,0.19164285714285723
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,12,"""There's a real sense in the Republican Party that there's no one speaking, not only to them, but speaking for them,"" Huckabee said then.",0,0.0644,0.14899354838709677,0.08459354838709678,0.2545571428571428
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,13,"""And if someone can capture both the blue-collar, working-class Republicans, the conservatives, many of them even union members, as well as evangelicals, there's a real pathway to the nomination.""",0,0.2732,0.14899354838709677,0.12420645161290322,0.04351428571428573
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,14,"Huckabee, an ordained Southern Baptist minister, is a celebrated figure among evangelical Christians.",1,0.5719,0.14899354838709677,0.4229064516129032,0.512842857142857
0,hpo,Mike Huckabee announced his run for the presidency,Mike Huckabee Is Running For President,15,"He was the longest-serving Arkansas governor, from 1996 to 2007.",1,0.0,0.14899354838709677,0.14899354838709677,0.10832857142857143
